. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	10   	-9893.07618	Yes        	4        	0.903    	0.267    	 0.33277   0.20230   0.23613   0.22880	-0.65844   0.13493   0.43290   0.09062  
      	     	          	           	          	           	             	                                      	 0.22194  -1.54604   0.13140   1.19270  
      	     	          	           	          	           	             	                                      	 0.61005   0.11257  -0.77777   0.05515  
      	     	          	           	          	           	             	                                      	 0.13180   1.05461   0.05692  -1.24332  

  #17	10   	-9507.10152	Yes        	4        	0.873    	0.251    	 0.33477   0.20011   0.21713   0.24800	-0.68815   0.10015   0.45299   0.13501  
      	     	          	           	          	           	             	                                      	 0.16754  -1.48026   0.18168   1.13104  
      	     	          	           	          	           	             	                                      	 0.69842   0.16744  -0.89784   0.03198  
      	     	          	           	          	           	             	                                      	 0.18225   0.91264   0.02800  -1.12289  

  #18	10   	-9657.27957	Yes        	4        	0.594    	0.207    	 0.34437   0.20206   0.22104   0.23253	-0.68235   0.11980   0.47122   0.09132  
      	     	          	           	          	           	             	                                      	 0.20418  -1.49099   0.15269   1.13412  
      	     	          	           	          	           	             	                                      	 0.73415   0.13959  -0.89636   0.02263  
      	     	          	           	          	           	             	                                      	 0.13524   0.98553   0.02151  -1.14229  

  #19	10   	-9727.55226	Yes        	4        	0.664    	0.218    	 0.33271   0.19486   0.23152   0.24090	-0.63360   0.09188   0.43176   0.10996  
      	     	          	           	          	           	             	                                      	 0.15688  -1.62520   0.14218   1.32613  
      	     	          	           	          	           	             	                                      	 0.62046   0.11967  -0.75339   0.01326  
      	     	          	           	          	           	             	                                      	 0.15187   1.07273   0.01275  -1.23734  

  #20	10   	-9632.96644	Yes        	4        	0.745    	0.254    	 0.34448   0.19322   0.21307   0.24923	-0.68352   0.11783   0.46214   0.10354  
      	     	          	           	          	           	             	                                      	 0.21008  -1.51276   0.11491   1.18778  
      	     	          	           	          	           	             	                                      	 0.74716   0.10420  -0.91163   0.06028  
      	     	          	           	          	           	             	                                      	 0.14311   0.92081   0.05153  -1.11546  

