. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	10   	-9495.00606	Yes        	4        	1.839    	0.398    	 0.34467   0.20652   0.21111   0.23770	-0.65864   0.10818   0.46095   0.08951  
      	     	          	           	          	           	             	                                      	 0.18054  -1.45102   0.14752   1.12295  
      	     	          	           	          	           	             	                                      	 0.75257   0.14431  -0.94714   0.05026  
      	     	          	           	          	           	             	                                      	 0.12979   0.97566   0.04464  -1.15008  

  #17	10   	-9730.85835	Yes        	4        	1.839    	0.398    	 0.33675   0.19781   0.22353   0.24191	-0.63902   0.09940   0.44440   0.09522  
      	     	          	           	          	           	             	                                      	 0.16921  -1.59459   0.14919   1.27619  
      	     	          	           	          	           	             	                                      	 0.66949   0.13202  -0.81428   0.01276  
      	     	          	           	          	           	             	                                      	 0.13255   1.04357   0.01179  -1.18791  

  #18	10   	-9749.04312	Yes        	4        	1.839    	0.398    	 0.34118   0.19557   0.22768   0.23558	-0.63054   0.13103   0.40111   0.09840  
      	     	          	           	          	           	             	                                      	 0.22860  -1.61878   0.16558   1.22461  
      	     	          	           	          	           	             	                                      	 0.60106   0.14222  -0.80039   0.05711  
      	     	          	           	          	           	             	                                      	 0.14251   1.01662   0.05519  -1.21432  

  #19	10   	-9814.33879	Yes        	4        	1.839    	0.398    	 0.34291   0.19722   0.22582   0.23405	-0.66441   0.10224   0.46990   0.09227  
      	     	          	           	          	           	             	                                      	 0.17777  -1.51594   0.15154   1.18662  
      	     	          	           	          	           	             	                                      	 0.71356   0.13235  -0.88246   0.03655  
      	     	          	           	          	           	             	                                      	 0.13519   0.99988   0.03526  -1.17034  

  #20	10   	-9583.45683	Yes        	4        	1.839    	0.398    	 0.35974   0.19300   0.22006   0.22720	-0.62981   0.09855   0.42351   0.10775  
      	     	          	           	          	           	             	                                      	 0.18369  -1.58656   0.18644   1.21643  
      	     	          	           	          	           	             	                                      	 0.69232   0.16352  -0.86800   0.01216  
      	     	          	           	          	           	             	                                      	 0.17060   1.03334   0.01178  -1.21572  

  #21	10   	-9840.68453	Yes        	4        	1.839    	0.398    	 0.36064   0.19242   0.22939   0.21754	-0.68045   0.11802   0.45061   0.11182  
      	     	          	           	          	           	             	                                      	 0.22121  -1.46610   0.14084   1.10405  
      	     	          	           	          	           	             	                                      	 0.70843   0.11814  -0.89222   0.06564  
      	     	          	           	          	           	             	                                      	 0.18537   0.97655   0.06922  -1.23113  

  #22	10   	-9672.46719	Yes        	4        	1.839    	0.398    	 0.34295   0.20213   0.21299   0.24193	-0.61317   0.12161   0.39823   0.09333  
      	     	          	           	          	           	             	                                      	 0.20634  -1.62678   0.20028   1.22016  
      	     	          	           	          	           	             	                                      	 0.64122   0.19007  -0.84350   0.01220  
      	     	          	           	          	           	             	                                      	 0.13229   1.01943   0.01074  -1.16246  

  #23	10   	-9362.55721	Yes        	4        	1.839    	0.398    	 0.33993   0.18738   0.22723   0.24546	-0.68075   0.11350   0.46725   0.10000  
      	     	          	           	          	           	             	                                      	 0.20591  -1.57919   0.14320   1.23008  
      	     	          	           	          	           	             	                                      	 0.69900   0.11808  -0.86668   0.04959  
      	     	          	           	          	           	             	                                      	 0.13849   0.93902   0.04591  -1.12341  

  #24	10   	-9582.92306	Yes        	4        	1.839    	0.398    	 0.34355   0.19781   0.22964   0.22900	-0.65101   0.12962   0.45246   0.06893  
      	     	          	           	          	           	             	                                      	 0.22513  -1.57477   0.13915   1.21050  
      	     	          	           	          	           	             	                                      	 0.67691   0.11986  -0.83760   0.04083  
      	     	          	           	          	           	             	                                      	 0.10340   1.04560   0.04094  -1.18994  

  #25	10   	-9572.12059	Yes        	4        	1.839    	0.398    	 0.32273   0.19722   0.23432   0.24573	-0.67517   0.10993   0.44438   0.12086  
      	     	          	           	          	           	             	                                      	 0.17988  -1.54744   0.14950   1.21806  
      	     	          	           	          	           	             	                                      	 0.61204   0.12582  -0.79077   0.05290  
      	     	          	           	          	           	             	                                      	 0.15873   0.97760   0.05045  -1.18678  

  #26	10   	-10007.85701	Yes        	4        	1.839    	0.398    	 0.33247   0.20127   0.22945   0.23681	-0.62598   0.07434   0.42601   0.12563  
      	     	          	           	          	           	             	                                      	 0.12280  -1.55856   0.16894   1.26682  
      	     	          	           	          	           	             	                                      	 0.61729   0.14819  -0.77815   0.01267  
      	     	          	           	          	           	             	                                      	 0.17638   1.07668   0.01227  -1.26534  

  #27	10   	-9826.10501	Yes        	4        	1.839    	0.398    	 0.34449   0.19511   0.21573   0.24467	-0.66428   0.10622   0.46555   0.09251  
      	     	          	           	          	           	             	                                      	 0.18755  -1.51964   0.11556   1.21653  
      	     	          	           	          	           	             	                                      	 0.74341   0.10451  -0.90013   0.05221  
      	     	          	           	          	           	             	                                      	 0.13025   0.97008   0.04603  -1.14636  

  #28	10   	-9912.11681	Yes        	4        	1.839    	0.398    	 0.35497   0.18774   0.23097   0.22631	-0.62933   0.07878   0.42921   0.12134  
      	     	          	           	          	           	             	                                      	 0.14895  -1.60674   0.19584   1.26195  
      	     	          	           	          	           	             	                                      	 0.65964   0.15918  -0.83144   0.01262  
      	     	          	           	          	           	             	                                      	 0.19033   1.04688   0.01288  -1.25009  

  #29	10   	-9778.01253	Yes        	4        	1.839    	0.398    	 0.33804   0.20299   0.22482   0.23415	-0.65057   0.10289   0.44866   0.09902  
